ID	AccINSDC	Name	Assembly	BioSample	BioProject	Date	TaxId	Lineage	SuperKingdom	Phylum	Class	Order	Family	Genus	Species	Size	MolecularType	AnnotDate	Topology	MOB_60	MPF	PFinder_60	PTU	HRange
NZ_CP023476.1	CP023476.1	pFORC75_2	GCF_003429365.1	SAMN07580859	PRJNA400838	2018-08-28	149539	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	34661	Plasmid	26-FEB-2020	circular	MOBP	typeT	IncX1	PTU-X1	IV
NZ_CP027508.1	CP027508.1	unnamed2	GCF_003020705.1	SAMN08628411	PRJNA433676	2018-03-27	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	53613	Plasmid	12-JAN-2020	circular	MOBP	-	-	PTU-Lab18	I
NZ_CP041254.1	CP041254.1	p169	GCF_006575625.1	SAMN12141647	PRJNA551139	2019-07-04	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	63472	Plasmid	06-JUL-2019	circular	MOBP	-	rep17	PTU-Lab18	I
NZ_CP041256.1	CP041256.1	p26	GCF_006575625.1	SAMN12141647	PRJNA551139	2019-07-04	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	150610	Plasmid	06-JUL-2019	circular	-	-	repUS15	PTU-Lab50	I
NZ_CP041258.1	CP041258.1	p27	GCF_006575625.1	SAMN12141647	PRJNA551139	2019-07-04	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	81972	Plasmid	06-JUL-2019	circular	MOBP	-	rep2	PTU-Lab18	I
NZ_CP024708.1	CP024708.1	pPUTH1	GCF_003932915.1	SAMN07811429	PRJNA351750	2018-12-10	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	237216	Plasmid	03-MAR-2020	circular	-	-	IncFIB(K);IncHI1B	PTU-E21	II
NZ_CP044182.1	CP044182.1	pAR-0404-1	GCF_008727595.1	SAMN12648954	PRJNA562719	2019-09-29	611	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Heidelberg	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	37696	Plasmid	07-OCT-2019	circular	MOBP	typeT	IncX1	PTU-X1	IV
NZ_CP044183.1	CP044183.1	pAR-0404-2	GCF_008727595.1	SAMN12648954	PRJNA562719	2019-09-29	611	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Heidelberg	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	101684	Plasmid	07-OCT-2019	circular	MOBP	typeI	IncI1	PTU-I1	III
NZ_CP007038.1	CP007038.1	pG1663	GCF_001021855.1	SAMN02440121	PRJNA231092	2015-06-08	1435046	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri;Shigella flexneri G1663	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	222586	Plasmid	06-APR-2020	circular	-	-	IncFII	PTU-FSh	III
NZ_CP017936.1	CP017936.1	pCAV1016-76	GCF_001870165.1	SAMN03024573	PRJNA246471	2016-11-07	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	76186	Plasmid	28-AUG-2019	circular	MOBP	typeI	IncL/M(pMU407)	PTU-LM	IV
NZ_CP025486.1	CP025486.1	p1971.C01_A	GCF_001717685.1	SAMN04966145	PRJNA321116	2018-02-20	46170	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus subsp. aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	3269	Plasmid	07-JAN-2020	linear	-	-	repUS13	PTU-Bac16	III
NZ_CP016857.1	CP016857.2	p1971.C01c	GCF_001717685.1	SAMN04966145	PRJNA321116	2018-02-20	46170	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus subsp. aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	37941	Plasmid	07-JAN-2020	circular	-	-	rep16;rep19;repUS13	PTU-Bac17	I
NZ_CP025919.1	CP025919.1	p120899_50	GCF_003956485.1	SAMN08161259	PRJNA421191	2018-12-19	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	50268	Plasmid	04-MAR-2020	circular	MOBF	typeF	IncFII(pCoo)	PTU-FE	III
NZ_CP022533.1	CP022533.1	pMS7884A	GCF_002237465.1	SAMN06765483	PRJNA383436	2017-07-31	158836	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter hormaechei	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei	330060	Plasmid	14-JUN-2019	circular	MOBH	-	IncHI2;IncHI2A	PTU-HI2	IV
NZ_CP023028.1	CP023028.1	pAba10042b	GCF_003522785.1	SAMN07520233	PRJNA311558	2018-09-10	470	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	110728	Plasmid	26-FEB-2020	circular	MOBF	typeF	-	PTU-Pse5	II
NZ_LT571451.1	LT571451.1	pBPH0662-02	GCF_900086615.2	SAMEA3982825	PRJEB13975	2019-11-07	1282	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	2366	Plasmid	13-DEC-2019	linear	-	-	rep10	PTU-Bac20	V
NZ_CP014393.1	CP014393.1	pUSA01-1-SUR9	GCF_002000565.1	SAMN04497603	PRJNA312385	2017-02-16	1280	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	3125	Plasmid	12-FEB-2020	circular	-	-	repUS13	PTU-Bac16	III
NZ_CP014394.1	CP014394.1	pUSA04-2-SUR9	GCF_002000565.1	SAMN04497603	PRJNA312385	2017-02-16	1280	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	25980	Plasmid	12-FEB-2020	circular	-	-	rep16;rep19	PTU-Bac17	I
NZ_CP014395.1	CP014395.1	pUSA05-1-SUR9	GCF_002000565.1	SAMN04497603	PRJNA312385	2017-02-16	1280	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	2473	Plasmid	12-FEB-2020	circular	-	-	rep10	PTU-Bac20	V
NC_017339.1	CP002115.1	pSaa6159	GCF_000144955.1	SAMN02604217	PRJNA50759	2010-08-23	869816	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus subsp. aureus;Staphylococcus aureus subsp. aureus JKD6159	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	20730	Plasmid	17-FEB-2020	circular	-	-	rep16;rep5	PTU-Bac18	II
NZ_CP035370.1	CP035370.1	unnamed	GCF_004118995.1	SAMN10779666	PRJNA515948	2019-01-30	1280	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	3125	Plasmid	07-MAR-2020	circular	-	-	repUS13	PTU-Bac16	III
NZ_CP045846.1	CP045846.1	pN2-1	GCF_009649915.1	SAMN13135738	PRJNA580050	2019-11-12	61648	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera intermedia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Kluyvera intermedia	245785	Plasmid	14-NOV-2019	circular	MOBH	-	IncHI2;IncHI2A	PTU-HI2	IV
NZ_CP017670.1	CP017670.1	pO157	GCF_001865295.1	SAMN04040761	PRJNA294158	2016-11-03	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	92755	Plasmid	07-SEP-2019	circular	-	-	IncFIB(AP001918);IncFII	PTU-E5	I
NZ_CP020056.1	CP020056.1	unitig_2	GCF_002056145.1	SAMN04014910	PRJNA292904	2017-03-21	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	136975	Plasmid	23-FEB-2020	circular	MOBH	typeF	IncA/C2	PTU-C	V
NC_017718.1	HE654725.1	pCol1B9_SL1344	GCF_000210855.2	SAMEA3138382	PRJNA50407	2012-03-23	216597	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	86908	Plasmid	15-FEB-2020	circular	MOBP	typeI	IncI1	PTU-I1	III
NC_017720.1	HE654724.1	pSLT_SL1344	GCF_000210855.2	SAMEA3138382	PRJNA50407	2012-03-23	216597	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	93842	Plasmid	15-FEB-2020	circular	MOBF	typeF	IncFIB(S);IncFII(S)	PTU-FS	I
NZ_CP046007.1	CP046007.1	p1919D62-1	GCF_009671125.1	SAMN13242790	PRJNA588386	2019-11-19	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	186058	Plasmid	20-NOV-2019	circular	MOBH	-	IncFIA(HI1);IncHI1A;IncHI1B(R27)	PTU-HI1A	IV
NZ_CP032223.1	CP032223.1	unnamed1	GCF_003571745.1	SAMN04014887	PRJNA292904	2018-09-16	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	201149	Plasmid	26-FEB-2020	circular	MOBH	-	IncFIB(Mar);IncHI1B	PTU-HI1B	III
NZ_CP032225.1	CP032225.1	unnamed3	GCF_003571745.1	SAMN04014887	PRJNA292904	2018-09-16	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	108879	Plasmid	26-FEB-2020	circular	-	-	IncFIB(pKPHS1)	PTU-E15	II
NZ_CP032226.1	CP032226.1	unnamed4	GCF_003571745.1	SAMN04014887	PRJNA292904	2018-09-16	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	85410	Plasmid	26-FEB-2020	circular	MOBF	typeF	IncFII	PTU-FE	III
NZ_CP009857.1	CP009857.1	pENT-d0d	GCF_000784905.1	SAMN02821151	PRJNA251385	2014-11-17	550	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter cloacae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	77575	Plasmid	27-AUG-2019	circular	MOBP	typeI	IncL/M(pOXA-48)	PTU-LM	IV
NZ_CP009858.1	CP009858.1	pKPC-47e	GCF_000784905.1	SAMN02821151	PRJNA251385	2014-11-17	550	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter cloacae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	50333	Plasmid	27-AUG-2019	circular	MOBF	typeT	IncN	PTU-N1	IV
NZ_CP047878.1	CP047878.1	pLD22-1-135kb	GCF_009913415.1	SAMN13829591	PRJNA600682	2020-01-22	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	135123	Plasmid	23-JAN-2020	circular	MOBF	typeF	IncFIB(AP001918);IncFII	PTU-E81	III
NZ_CP047877.1	CP047877.1	pLD22-1-MCR1	GCF_009913415.1	SAMN13829591	PRJNA600682	2020-01-22	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	251000	Plasmid	23-JAN-2020	circular	MOBH	-	IncHI2;IncHI2A;IncN	PTU-HI2	IV
NZ_CP012734.1	CP012734.1	unnamed_3	GCF_001578125.1	SAMN03797406	PRJNA288250	2016-03-01	374923	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri;Shigella flexneri 1a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	63412	Plasmid	06-APR-2020	circular	MOBP	typeT	IncX1;IncX3	PTU-X1	IV
NZ_CP035645.1	CP035645.1	unnamed3	GCF_005886545.1	SAMN10863479	PRJNA518133	2019-05-29	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	6303	Plasmid	31-MAY-2019	circular	MOBP	-	rep11	PTU-Lab17	I
NZ_CP035646.1	CP035646.1	unnamed4	GCF_005886545.1	SAMN10863479	PRJNA518133	2019-05-29	1352	root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	4316	Plasmid	31-MAY-2019	circular	MOBV	-	-	PTU-Lab37	V
NZ_CP021690.1	CP021690.1	tig00007555j7554	GCF_002180195.1	SAMN04014899	PRJNA292904	2017-06-08	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	163045	Plasmid	20-DEC-2019	circular	-	-	Col156;IncFIA;IncFIB(AP001918);IncFII(pRSB107)	PTU-FE	III
NZ_AP017619.1	AP017619.1	pMRY15-117_2	GCF_002357895.1	SAMD00056131	PRJDB5007	2017-04-06	562	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	61223	Plasmid	07-AUG-2019	circular	MOBP	typeT	IncI2	PTU-I2	III
NZ_CP038603.1	CP038603.1	p11-5006.2	GCF_004768605.1	SAMN06030139	PRJNA353625	2019-04-10	28150	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Senftenberg	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	6237	Plasmid	11-APR-2020	circular	-	-	-	PTU-E3	VI
NC_016855.1	CP001362.1	unnamed	GCF_000022165.1	SAMN02604137	PRJNA33067	2009-11-13	588858	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;Salmonella enterica subsp. enterica serovar Typhimurium str. LT2;Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	93832	Plasmid	13-FEB-2020	circular	MOBF	typeF	IncFIB(S);IncFII(S)	PTU-FS	I
NC_010635.1	CP001049.1	pYPTS01	GCF_000020085.1	SAMN02598458	PRJNA28745	2008-04-25	502801	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis complex;Yersinia pseudotuberculosis;Yersinia pseudotuberculosis PB1/+	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis	69812	Plasmid	28-NOV-2019	circular	-	-	IncFII(Y)	PTU-E2	II
NZ_CP006747.1	CP006747.1	pCD1	GCF_001188755.1	SAMN03943569	PRJNA208258	2015-07-30	1345708	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis complex;Yersinia pestis;Yersinia pestis 8787	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	71523	Plasmid	15-FEB-2020	circular	-	-	IncFII(Y)	PTU-E2	II
NZ_CP006746.1	CP006746.1	pMT1	GCF_001188755.1	SAMN03943569	PRJNA208258	2015-07-30	1345708	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis complex;Yersinia pestis;Yersinia pestis 8787	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	137017	Plasmid	15-FEB-2020	circular	MOBF	typeF	IncFIB(pHCM2);IncFII(Yp)	PTU-FY	I
NZ_CP016924.1	CP016924.1	unnamed1_1	GCF_001709295.1	SAMN04448241	PRJNA296771	2016-08-23	573	root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	111539	Plasmid	23-FEB-2020	circular	-	-	IncFIB(pKPHS1)	PTU-E15	II
