ID	PTU	mobility	oriT Family	oriT	oriT_start	oriT_end	oriT_strand	MOB	MOB_start	MOB_end	MOB_strand	Leading Region
NZ_CP023144.1	PTU-BOKZ	Conjugative	R64	p838BR	42925	42853	-1	MOBP1	43290	45992	1	From 42853 in upstream direction.
NZ_CP023387.1	PTU-BOKZ	Conjugative	R64	pKL1	26946	26865	-1	MOBP1	27305	30025	1	From 26865 in upstream direction.
NZ_CP023542.1	PTU-BOKZ	Conjugative	R64	p838BR	53140	53212	1	MOBP1	50064	52775	-1	From 53212 in downstream direction.
NZ_CP024154.1	PTU-BOKZ	Conjugative	R64	p838BR	16535	16463	-1	MOBP1	16900	19611	1	From 16463 in upstream direction.
NZ_CP024254.1	PTU-BOKZ	Conjugative	R64	p838BR	85998	86070	1	MOBP1	82922	85633	-1	From 86070 in downstream direction.
NZ_CP024665.1	PTU-BOKZ	Conjugative	R64	p838BR	61983	61911	-1	MOBP1	62348	65059	1	From 61911 in upstream direction.
NZ_CP025625.1	PTU-BOKZ	Conjugative	R64	pKL1	28485	28404	-1	MOBP1	28844	31564	1	From 28404 in upstream direction.
NZ_CP026778.1	PTU-BOKZ	Conjugative	R64	pKL1	4925	4844	-1	MOBP1	5284	8004	1	From 4844 in upstream direction.
NZ_CP026855.1	PTU-BOKZ	Conjugative	R64	p838BR	69224	69296	1	MOBP1	66148	68859	-1	From 69296 in downstream direction.
NZ_CP027330.1	PTU-BOKZ	Conjugative	R64	p838BR	48998	49070	1	MOBP1	45922	48633	-1	From 49070 in downstream direction.
NZ_CP027441.1	PTU-BOKZ	Conjugative	R64	p838BR	170412	170484	1	MOBP1	167336	170047	-1	From 170484 in downstream direction.
NZ_CP027451.1	PTU-BOKZ	Conjugative	R64	p838BR	111822	111750	-1	MOBP1	112187	114940	1	From 111750 in upstream direction.
NZ_CP027453.1	PTU-BOKZ	Conjugative	R64	p838BR	150514	150586	1	MOBP1	147437	149734	-1	From 150586 in downstream direction.
NZ_CP027585.1	PTU-BOKZ	Conjugative	R64	p838BR	104721	104649	-1	MOBP1	105086	107797	1	From 104649 in upstream direction.
NZ_CP027600.1	PTU-BOKZ	Conjugative	R64	p838BR	10305	10233	-1	MOBP1	10670	13381	1	From 10233 in upstream direction.
NZ_CP028382.1	PTU-BOKZ	Conjugative	R64	p838BR	63763	63835	1	MOBP1	60687	63398	-1	From 63835 in downstream direction.
NZ_CP028611.1	PTU-BOKZ	Conjugative	R64	pKL1	29201	29120	-1	MOBP1	29560	32280	1	From 29120 in upstream direction.
NZ_CP029742.1	PTU-BOKZ	Conjugative	R64	p838BR	9204	9132	-1	MOBP1	9569	12280	1	From 9132 in upstream direction.
NZ_CP030917.1	PTU-BOKZ	decay Conjugative	R64	p838BR	87199	87127	-1	MOBP1	87564	90275	1	From 87127 in upstream direction.
NZ_CP031899.1	PTU-BOKZ	Conjugative	R64	p838BR	145511	145583	1	MOBP1	142435	145146	-1	From 145583 in downstream direction.
NZ_CP032260.1	PTU-BOKZ	Conjugative	R64	pKL1	82979	82899	-1	MOBP1	83338	86058	1	From 82899 in upstream direction.
NZ_CP033633.1	PTU-BOKZ	Conjugative	R64	pKL1	117340	117261	-1	MOBP1	117701	120403	1	From 117261 in upstream direction.
NZ_CP033883.1	PTU-BOKZ	Conjugative	R64	pKL1	63152	63233	1	MOBP1	60073	62793	-1	From 63233 in downstream direction.
NZ_CP038793.1	PTU-BOKZ	Conjugative	R64	p838BR	25341	25269	-1	MOBP1	25706	28417	1	From 25269 in upstream direction.
NZ_CP040264.1	PTU-BOKZ	Conjugative	R64	p838BR	29960	29888	-1	MOBP1	30325	33036	1	From 29888 in upstream direction.
NZ_CP040455.1	PTU-BOKZ	Conjugative	R64	pKL1	41741	41822	1	MOBP1	38662	41382	-1	From 41822 in downstream direction.
NZ_CP041552.1	PTU-BOKZ	Conjugative	R64	pKL1	62154	62073	-1	MOBP1	62513	65233	1	From 62073 in upstream direction.
NZ_CP041565.1	PTU-BOKZ	Conjugative	R64	p838BR	16617	16689	1	MOBP1	13541	16252	-1	From 16689 in downstream direction.
NZ_CP041959.1	PTU-BOKZ	Conjugative	R64	pKL1	30653	30572	-1	MOBP1	31012	33732	1	From 30572 in upstream direction.
NZ_CP043035.1	PTU-BOKZ	Conjugative	R64	p838BR	30212	30140	-1	MOBP1	30577	33288	1	From 30140 in upstream direction.
NZ_CP051702.1	PTU-BOKZ	Conjugative	R64	p838BR	33419	33347	-1	MOBP1	33784	36495	1	From 33347 in upstream direction.
NZ_CP051713.1	PTU-BOKZ	Conjugative	R64	p838BR	29487	29415	-1	MOBP1	29852	32563	1	From 29415 in upstream direction.
NZ_CP051720.1	PTU-BOKZ	Conjugative	R64	pKL1	26607	26526	-1	MOBP1	26966	29686	1	From 26526 in upstream direction.
NZ_LR213460.1	PTU-BOKZ	Conjugative	R64	p838BR	26891	26819	-1	MOBP1	27256	29967	1	From 26819 in upstream direction.
NZ_LR595871.1	PTU-BOKZ	decay Conjugative	R64	p838BR	89	17	-1	MOBP1	454	3165	1	From 17 in upstream direction.
NZ_LR595872.1	PTU-BOKZ	Conjugative	R64	p838BR	39057	38985	-1	MOBP1	39422	42133	1	From 38985 in upstream direction.
NZ_LR595877.1	PTU-BOKZ	Conjugative	R64	p838BR	47018	47090	1	MOBP1	43942	46653	-1	From 47090 in downstream direction.
NZ_LR595880.1	PTU-BOKZ	Conjugative	R64	p838BR	22951	23023	1	MOBP1	19875	22586	-1	From 23023 in downstream direction.
NZ_LR595888.1	PTU-BOKZ	Conjugative	R64	p838BR	51805	51733	-1	MOBP1	52170	54881	1	From 51733 in upstream direction.
NZ_LR595889.1	PTU-BOKZ	Conjugative	R64	p838BR	2299	2227	-1	MOBP1	2664	5384	1	From 2227 in upstream direction.
NZ_LT985270.1	PTU-BOKZ	Conjugative	R64	pKL1	42733	42652	-1	MOBP1	43092	45812	1	From 42652 in upstream direction.
NZ_LT985278.1	PTU-BOKZ	Conjugative	R64	pKL1	80537	80618	1	MOBP1	77458	80178	-1	From 80618 in downstream direction.
NZ_LT985300.1	PTU-BOKZ	Conjugative	R64	p838BR	22178	22106	-1	MOBP1	22543	25254	1	From 22106 in upstream direction.
NZ_LT985320.1	PTU-BOKZ	Conjugative	R64	p838BR	8350	8278	-1	MOBP1	8715	11426	1	From 8278 in upstream direction.
NC_008612.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	117341	117738	1	MOBH	32858	35836	1	From 117341 in upstream direction.
NC_008613.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	111776	112173	1	MOBH	27312	30290	1	From 111776 in upstream direction.
NC_009139.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	49823	52801	1	From 1 in upstream direction.
NC_009140.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46409	49381	1	From 1 in upstream direction.
NC_012690.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46409	47785	1	From 1 in upstream direction.
NC_012692.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	48097	51069	1	From 1 in upstream direction.
NC_012693.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46409	49381	1	From 1 in upstream direction.
NC_016839.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	102938	103335	1	NA	NA	NA	NA	From  102938  in upstream direction.
NC_016974.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46355	49327	1	From 1 in upstream direction.
NC_016976.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	53658	56636	1	From 1 in upstream direction.
NC_017645.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46408	49380	1	From 1 in upstream direction.
NC_018994.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NC_019045.2	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NC_019065.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	51254	54232	1	From 1 in upstream direction.
NC_019066.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46406	49378	1	From 1 in upstream direction.
NC_019069.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NC_019107.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	2186	2583	1	MOBH	52051	55023	1	From 2186 in upstream direction.
NC_019116.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	48129	51101	1	From 1 in upstream direction.
NC_019118.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	48070	51042	1	From 1 in upstream direction.
NC_019121.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	19988	19591	-1	MOBH	119633	122605	-1	From 19988 in downstream direction.
NC_019153.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	60621	60224	-1	MOBH	13793	16765	-1	From 60621 in downstream direction.
NC_019158.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NC_019375.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	135906	135509	-1	MOBH	88179	91157	-1	From 135906 in downstream direction.
NC_019380.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	164693	165090	1	MOBH	42644	45616	1	From 164693 in upstream direction.
NC_020180.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	160953	161350	1	MOBH	46310	49288	1	From 160953 in upstream direction.
NC_021667.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	26748	27145	1	MOBH	76579	79551	1	From 26748 in upstream direction.
NC_021815.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	162	559	1	MOBH	61632	64604	1	From 162 in upstream direction.
NC_022377.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	134402	134799	1	MOBH	45478	48456	1	From 134402 in upstream direction.
NC_022652.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	150636	151033	1	MOBH	38938	41910	1	From 150636 in upstream direction.
NC_023291.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	120175	120572	1	MOBH	35113	38091	1	From 120175 in upstream direction.
NC_023898.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NC_023908.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NZ_AP018143.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	174813	175210	1	MOBH	42644	45616	1	From 174813 in upstream direction.
NZ_AP018145.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	199925	200322	1	MOBH	57741	60713	1	From 199925 in upstream direction.
NZ_AP018672.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	64501	67479	1	From 1 in upstream direction.
NZ_AP022377.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	151541	151938	1	MOBH	45361	48339	1	From 151541 in upstream direction.
NZ_CP003998.1	PTU-C	MOB-Mobilizable	pVCR94deltaX	pVCR94deltaX	65671	65274	-1	MOBH	15310	18288	-1	From 65671 in downstream direction.
NZ_CP006029.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	489	92	-1	NA	NA	NA	NA	From  489  in downstream direction.
NZ_CP006661.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	14020	14417	1	MOBH	57877	60849	1	From 14020 in upstream direction.
NZ_CP007137.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	489	92	-1	NA	NA	NA	NA	From  489  in downstream direction.
NZ_CP007487.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	33608	34005	1	NA	NA	NA	NA	From  33608  in upstream direction.
NZ_CP007636.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	16760	17157	1	MOBH	65301	68273	1	From 16760 in upstream direction.
NZ_CP008790.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	192512	192909	1	MOBH	58405	61383	1	From 192512 in upstream direction.
NZ_CP009409.2	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46409	49381	1	From 1 in upstream direction.
NZ_CP009410.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	48068	51040	1	From 1 in upstream direction.
NZ_CP009411.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46407	49379	1	From 1 in upstream direction.
NZ_CP009412.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	47236	50208	1	From 1 in upstream direction.
NZ_CP009413.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	104125	107097	-1	From 322 in downstream direction.
NZ_CP009414.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	48120	51092	1	From 1 in upstream direction.
NZ_CP009560.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	92062	92459	1	MOBH	138546	141518	1	From 92062 in upstream direction.
NZ_CP009562.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	57296	57693	1	MOBH	103780	106752	1	From 57296 in upstream direction.
NZ_CP009563.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	59546	59943	1	NA	NA	NA	NA	From  59546  in upstream direction.
NZ_CP009564.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	56892	57289	1	MOBH	103376	106348	1	From 56892 in upstream direction.
NZ_CP009567.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	76968	76571	-1	MOBH	27512	30484	-1	From 76968 in downstream direction.
NZ_CP009570.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	73270	72873	-1	MOBH	23814	26786	-1	From 73270 in downstream direction.
NZ_CP010373.2	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	152302	151905	-1	MOBH	81949	84927	-1	From 152302 in downstream direction.
NZ_CP010391.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	5211	4814	-1	MOBH	119350	122328	-1	From 5211 in downstream direction.
NZ_CP011429.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	44435	47407	1	From 1 in upstream direction.
NZ_CP011540.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	96285	96682	1	MOBH	150022	153000	1	From 96285 in upstream direction.
NZ_CP011622.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	67561	67164	-1	MOBH	20732	23704	-1	From 67561 in downstream direction.
NZ_CP012682.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	1	321	1	MOBH	84546	87518	-1	From 321 in downstream direction.
NZ_CP012902.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	14703	14306	-1	MOBH	143922	146894	-1	From 14703 in downstream direction.
NZ_CP013324.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	67561	67164	-1	MOBH	20732	23704	-1	From 67561 in downstream direction.
NZ_CP014295.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	46375	45978	-1	MOBH	131084	134062	-1	From 46375 in downstream direction.
NZ_CP014658.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46409	49381	1	From 1 in upstream direction.
NZ_CP014775.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	71091	71488	1	MOBH	161563	164535	1	From 71091 in upstream direction.
NZ_CP014978.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	47125	50097	1	From 1 in upstream direction.
NZ_CP015139.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	137892	137495	-1	MOBH	91062	94034	-1	From 137892 in downstream direction.
NZ_CP015394.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	153094	153491	1	MOBH	43501	46479	1	From 153094 in upstream direction.
NZ_CP015835.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	136352	136749	1	MOBH	42644	45616	1	From 136352 in upstream direction.
NZ_CP016013.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	15105	15502	1	MOBH	61589	64561	1	From 15105 in upstream direction.
NZ_CP016864.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	103436	103833	1	MOBH	60257	63229	1	From 103436 in upstream direction.
NZ_CP017055.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	147101	146704	-1	MOBH	84943	87915	-1	From 147101 in downstream direction.
NZ_CP017084.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	129907	130304	1	MOBH	77691	80669	-1	From 130304 in downstream direction.
NZ_CP017387.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	109233	109630	1	MOBH	36250	39228	1	From 109233 in upstream direction.
NZ_CP017987.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	32020	32417	1	MOBH	82677	85649	1	From 32020 in upstream direction.
NZ_CP018318.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	10452	10055	-1	MOBH	52888	55860	-1	From 10452 in downstream direction.
NZ_CP018457.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	47111	47508	1	MOBH	95202	98180	1	From 47111 in upstream direction.
NZ_CP018689.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	81040	80643	-1	MOBH	27411	30383	-1	From 81040 in downstream direction.
NZ_CP018698.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	65630	65233	-1	MOBH	12001	14973	-1	From 65630 in downstream direction.
NZ_CP018704.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	56041	55644	-1	MOBH	2412	5384	-1	From 56041 in downstream direction.
NZ_CP018716.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	22449	22846	1	MOBH	73106	76078	1	From 22449 in upstream direction.
NZ_CP018722.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	31038	30641	-1	MOBH	73482	76454	-1	From 31038 in downstream direction.
NZ_CP018817.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	15361	14964	-1	MOBH	109357	112329	-1	From 15361 in downstream direction.
NZ_CP018956.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	51531	51134	-1	MOBH	85772	88750	1	From 51134 in upstream direction.
NZ_CP019053.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	154589	154986	1	MOBH	68893	71871	1	From 154589 in upstream direction.
NZ_CP019441.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	169637	169240	-1	MOBH	94082	97060	-1	From 169637 in downstream direction.
NZ_CP020049.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	21364	20967	-1	MOBH	115452	116654	-1	From 21364 in downstream direction.
NZ_CP020056.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	11184	10787	-1	MOBH	101330	104302	-1	From 11184 in downstream direction.
NZ_CP020513.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	26088	26485	1	NA	NA	NA	NA	From  26088  in upstream direction.
NZ_CP020524.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	86211	86608	1	MOBH	130845	133817	1	From 86211 in upstream direction.
NZ_CP020913.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	43782	46754	1	From 1 in upstream direction.
NZ_CP021206.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	95184	94787	-1	MOBH	48355	51327	-1	From 95184 in downstream direction.
NZ_CP021551.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	63693	63296	-1	MOBH	16864	19836	-1	From 63693 in downstream direction.
NZ_CP021709.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	137974	138371	1	MOBH	181831	184803	1	From 137974 in upstream direction.
NZ_CP021719.1	PTU-C	decay Conjugative	pVCR94deltaX	pVCR94deltaX	19145	18748	-1	MOBH	101403	102605	-1	From 19145 in downstream direction.
NZ_CP021835.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	69367	69764	1	MOBH	34564	37542	-1	From 69764 in downstream direction.
NZ_CP021853.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	37154	37551	1	MOBH	112391	115363	1	From 37154 in upstream direction.
NZ_CP021936.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	88820	89217	1	MOBH	132677	135649	1	From 88820 in upstream direction.
NZ_CP021952.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	87588	87985	1	MOBH	131445	134417	1	From 87588 in upstream direction.
NZ_CP021956.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	96897	97294	1	MOBH	151691	153526	1	From 96897 in upstream direction.
NZ_CP022126.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	112331	111934	-1	MOBH	65502	68474	-1	From 112331 in downstream direction.
NZ_CP022359.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	140411	140808	1	MOBH	185872	188850	1	From 140411 in upstream direction.
NZ_CP023274.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	19988	19591	-1	MOBH	162301	165273	-1	From 19988 in downstream direction.
NZ_CP023724.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	43772	44169	1	MOBH	108348	111326	1	From 43772 in upstream direction.
NZ_CP023952.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	162252	161855	-1	MOBH	76980	79958	-1	From 162252 in downstream direction.
NZ_CP024192.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	220393	220790	1	MOBH	52545	55268	1	From 220393 in upstream direction.
NZ_CP024522.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	220393	220790	1	MOBH	52545	55268	1	From 220393 in upstream direction.
NZ_CP024529.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	220393	220790	1	MOBH	52545	55268	1	From 220393 in upstream direction.
NZ_CP024536.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	186398	186795	1	MOBH	49933	52656	1	From 186398 in upstream direction.
NZ_CP024550.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	186398	186795	1	MOBH	49933	52656	1	From 186398 in upstream direction.
NZ_CP024557.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	216472	216869	1	MOBH	49933	52656	1	From 216472 in upstream direction.
NZ_CP024564.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	186398	186795	1	MOBH	49933	52656	1	From 186398 in upstream direction.
NZ_CP024571.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	186398	186795	1	MOBH	49933	52656	1	From 186398 in upstream direction.
NZ_CP024824.1	PTU-C	oriT-Mobilizable	pVCR94deltaX	pVCR94deltaX	9832	9435	-1	NA	NA	NA	NA	From  9832  in downstream direction.
NZ_CP025141.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	64857	64460	-1	MOBH	185623	188601	-1	From 64857 in downstream direction.
NZ_CP025144.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	64709	64312	-1	MOBH	184864	187842	-1	From 64709 in downstream direction.
NZ_CP025147.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	70161	69764	-1	MOBH	192145	195123	-1	From 70161 in downstream direction.
NZ_CP025231.1	PTU-C	Conjugative	pVCR94deltaX	pVCR94deltaX	1	322	1	MOBH	46409	49381	1	From 1 in upstream direction.
